links_link,links_Review_name,links_Review_Title,links_Review_Text,links_Review_Date,links_Review_Purpose
https://www.renttherunway.com/pdp/items/RMB64,Mitch,Love!,"Based on other reviews, I sized up. Typically a small/4. Fit perfect!","November 13, 2019",Everyday
https://www.renttherunway.com/pdp/items/RMB64,Audrey,Engagement Photo Shoot Magic!,I ordered this as part of the bridal concierge package for my engagement photo shoot and loved it! I received so many complements on the photos. It was perfect for the setting and fit just right. The bow in the back gave it that extra pop!,"November 11, 2019",True to Size
https://www.renttherunway.com/pdp/items/RMB64,Lyte,Love love love!!! Had to buy it!,This was perfect short ... small fit me perfectly (I'm a size 4) must have worn this shirt about 6 times then decided I couldn't live without this in my personal wardrobe!,"November 4, 2019",Everyday
https://www.renttherunway.com/pdp/items/RMB64,Mary beth,Great top to pair with any pants and jacket or a cute skirt. Flattering!,"I love turtle neck styles so this top was perfect. Easy to dress up or down. I wore with jeans, boots and a purple jacket for football tailgating!","October 17, 2019",True to Size
https://www.renttherunway.com/pdp/items/RMB64,RTR Customer,Cute top but runs small,Love the design of the top cute but run small and dress it up or down. Didn't like the long tie at the neck in the back. Not shown in pictures.,"September 10, 2019",Party
https://www.renttherunway.com/pdp/items/RMB64,T,Loved this shirt,fit well and went with so many things!,"August 28, 2019",True to Size
https://www.renttherunway.com/pdp/items/RMB64,Katie,Too small,Too small to enjoy,"July 19, 2019",Work
https://www.renttherunway.com/pdp/items/RMB64,Elizabeth,Great to dress up or down,"The fit wasn't quite as drapey as it looked in the photo, but was fine. No side-boob, and I wore a regular strapless bra. It's a satiny material, not jersey/knit. The bow is a nice heavy material so it looks great hanging down in the back. I wore this to sing the National Anthem at a baseball game, with dark jeans and nude wedges. But it is definitely dressy enough for a more formal occasion.","June 9, 2019",True to Size
https://www.renttherunway.com/pdp/items/RMB64,Kelcey,Tight in the chest and see through,"I know it is white and I should have expected it to be somewhat see through, but had hoped with the high price tag this would have been made from a thicker material. the cut was beautiful, but too tight in the chest for comfort.","June 9, 2019",Small
https://www.renttherunway.com/pdp/items/MNL281,Lexi,NYE wedding perfect!,"Fits large- definitely size down! Lots stretch, making it comfortable to dance all night! Sequins got a little itchy under my arm by the end of the night. Tons of compliments and would rent again, but not my favorite rental ever.","March 18, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,Dress fit beautifully and was very flattering!,Only negative was that the sequins chafed the underside of my left arm. The leg slit is also fairly high so just be aware. I was still comfortable in it though.,"March 11, 2020",True to Size
https://www.renttherunway.com/pdp/items/MNL281,Karla,"Very comfortable dress, material has stretch.","This dress is comfortable. I wore a 14L, as you can see from the pic it didn't touch the floor. I am 5'10 and had on a 3 inch heel. If you are leery about high splits, this is not the dress for you. The split is not for the modest. Material is heavy, so its a good dress for colder climates. The dress is black with gold sequins.","March 9, 2020",True to Size
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,"Sleek, sophisticated and sexy all in one!","I wore this dress for a formal event I was speaking at in the early spring. It was a space themed event so it worked perfect with the black velvet and gold sequins. It's very forgiving,stretchy material. Side zip I could do myself. I had to size down to a 12L. Usually a 14R. The length was perfect with the smaller size. I don't love my arms but showing one felt ok. Great dress! I didn't even need shape wear. Very flattering. Will rent again.","March 9, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Michelle,Pretty and comfortable,Looked great and got a ton of compliments. Has some stretch and in my opinion runs a little large. I usually wear an 8 in dresses and a 10 in gowns. The 6 fit perfect,"March 7, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Erin,I loved this dress!,,"March 6, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,Compliments all night!,Rented this dress to celebrate my Great Gatsby themed birthday party and it was stunning! Would recommend 1000x over!,"March 3, 2020",Party
https://www.renttherunway.com/pdp/items/MNL281,Trudy,Stunning gown!,,"February 28, 2020",Other
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,The dress was very comfortable and elegant at the same time.,The fit was very forgiving and the cut of the dress was perfect for someone top-heavy like me.,"February 27, 2020",True to Size
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,Received several compliments.,Fit perfectly. The shoulder was a little itchy.,"February 25, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Felisha,Glitz & Glamour!,Absolutely loved this dress!! Wore it for an awards show and it was great. Thick material but it was comfortable and not too heavy. Received lots of compliments!!,"February 24, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Leah,"Gorgeous, glamorous and comfortable!","I chose this dress for my husbands Masonic Ball and am glad i did. I ordered the 4 and 6 and wore the 4. The length was great (I am 5'2"") even with 3"" heels. I wore with a simple strapless bra and had no issues there. The zipper did stick a bit when putting it on, so be careful...you may need a hand pulling it up. All in all it was a beautiful dress. I got so many compliments!","February 23, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,Statement Dress!,"I chose the smaller of the two options I rented because I liked the snug fit. I'm smaller up top and heavier of bottom- definitely an hour glass. I would buy size 8 pants. I chose the size 6 because I wanted the better fit in the chest and just lived with the fact that I was showing a little more leg than I expected. And can we just say it doesn't matter what size you are, you can rock this dress??!! I ran into my girlfriend who rented the EXACT same dress and we owned the party together! :)","February 14, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Kelly,I LOVED this dress! MADE for black tie event!,"I cannot rave about this dress anymore, I was SO sad to return it! Wore this to a black tie Oscars event and it was the PERFECT dress. It fit like a glove and I've never felt more sexy and beautiful. Got a ton of compliments. Would wear this again and again!","February 10, 2020",True to Size
https://www.renttherunway.com/pdp/items/MNL281,Alissa,Awesome dress!,,"February 9, 2020",Other
https://www.renttherunway.com/pdp/items/MNL281,Paige,Work holiday party dress!,Amazing holiday party dress! Just a little edgy with exposed shoulder and slit but still appropriate!,"February 9, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Karen,Received my dresses well in advance. Very happy with my experience.,"Dress fit perfect. Perfect length for me being 5'3"". The dress had some stretch so it was very comfortable. Very pleased!","January 27, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Kelly,RENT THIS DRESS,"One word ...AMAZING... photos don't do it justice. You won't be disappointed. I felt so beautiful. I'm 5'3"" wore a 2 inch heel and length was perfect. All I needed was a strapless bra. I would rent this again in a heartbeat! So comfy and compliments all night long! Ima 16/18 and the 18 was a perfect fit.","January 26, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Michele,Showstopper at Screen Actors Guild Awards,Sexy & fun! Paired with accessories from RTR ... a winning ensemble ~,"January 25, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Adrienne,Military Ball,"Fit was comfortable! A little baggy under the low arm, but that may have been fixed with one size down. It was a cold night and it also felt warm! Beautiful velvet and sparkle! Was the perfect dress for a January Military Holiday Party!","January 18, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,Kristin,if you currently have this dress rented in 14/16 pls return,"i didn't end up wearing this for NYE and now i want to wear it for a wedding next week - can y'all return your dang 14 or 16 as it runs big in the tummy and i can buy some spanks? someone has had both sizes out for like 3 weeks SOS girl! love this dress, velvet and shiny with a leg slit *chef's kiss*","January 18, 2020",Formal Affair
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,Best dressed at the wedding!,"This dress is incredibly flattering; especially for someone with curves. My stats are not showing below, but I am 5'5"" and 145 pounds. I usually wear a 6-8 size dress and this is a 6R. There is some extra fabric in the stomach area that bunches and looks like part of the dress (so if you do have a small belly, it hides it) The only con is the zipper was rather difficult to get on and off on this particular dress.","January 13, 2020",True to Size
https://www.renttherunway.com/pdp/items/MNL281,Lizz,Best dress ever!!!,Fabric has stretch and worked well with my hip curves. Only issue was I danced too much and the sequins starts scratching my under arm. I felt like a million bucks and got a ton of compliments.,"January 13, 2020",Wedding
https://www.renttherunway.com/pdp/items/MNL281,RTR Customer,This dress was very comfortable but still felt glamorous.,This dress is true to size and has some stretch to it. Not too tight of fit. Accentuated all the good things and masked the not so good as well. Only small con was some scratching on my arm by the sequins.,"January 7, 2020",True to Size
https://www.renttherunway.com/pdp/items/MNL281,Kristina,Stunning,Loved this dress for NYE. Was a bit heavy and hot at times during the night but it was really gorgeous and fit well.,"January 4, 2020",Party
