links_link,links_reviews_name,links_reviews_title,links_reviews_text,links_reviews_date,links_reviews_purpose
https://www.renttherunway.com/pdp/items/KPL74,Christina,nice bright pattern,I loved the back of the dress and the way the top fit.,"May 14, 2019",Small
https://www.renttherunway.com/pdp/items/KPL74,Meredith,Weirdest cut,Dress was large in chest but smaller in rib cage. Very strange fit- didn't wear,"May 9, 2019",Party
https://www.renttherunway.com/pdp/items/KPL74,Kimberly,N/A,"fits very small in the boobs, and is much shorter than I anticipated","April 25, 2019",Small
https://www.renttherunway.com/pdp/items/KPL74,Juliette,Cute but had to send back without wearing,Very weirdly tight in the hips due to two lines of stitching down the front and back of the dress that don't need to be there and makes the fabric weirdly bunch up? It's strange because the dress has plenty of room and should fit but something with the hips keeps it from happening. Will likely size up and try again but I fear then it will be too big,"April 20, 2019",Everyday
https://www.renttherunway.com/pdp/items/KPL74,RTR Customer,Needs to be wore with correct body shape,"Unfortunately this dress didn't work for me. I am 5'10"" 140 pounds for reference and sized up. This dress was very tight in the hips and I was hoping for it to hang more and be flowy. I believe you need to have a straight figure to make this dress work.","April 18, 2019",Vacation
https://www.renttherunway.com/pdp/items/KPL74,RTR Customer,Wrong size,I ordered the wrong size- will re-order a size up,"April 17, 2019",Everyday
https://www.renttherunway.com/pdp/items/KPL74,Abigail,Not for anyone with hips,This is very pretty fabric and the print is lovely but the fabric pooled above my hips because it is cut narrowly (or maybe just completely straight) through the hips. Size up if you have hips!,"April 17, 2019",Vacation
https://www.renttherunway.com/pdp/items/KPL74,Elizabeth,Too small through the hips,"I've rented other items from this brand and haven't had any fit issues until this dress. Like many other customers, I could barely fit this dress over my hips while the top part felt large. I'm usually a 6/8 in dresses and thought the 2R was not a good fit. Ended up swapping this dress for another style.","April 16, 2019",Small
https://www.renttherunway.com/pdp/items/KPL74,Charlotte,"Beautiful Dress, Not for Curvy Ladies","I love this dress! The fabric, style, everything except one thing... it is too tight around my hips (and baggier at my waist) so it sits up high (I belted it to hide the foldover). So it is beautiful, but if you have hips, this may not be perfect for you. Also... size up!! I went up a size and it still didn't fit my hips, although the waist was large so if you are straight and thin then maybe don't size up.","April 15, 2019",Small
https://www.renttherunway.com/pdp/items/KPL74,Stephanie,"Super weird sizing, runs very small","I used the brands sizing to order, but it was SO small. Like couldn't even get around my hips. Seemed overall like an odd cut as parts fit or were baggy but the middle was so snug. Material very thin.","April 7, 2019",Party
https://www.renttherunway.com/pdp/items/KPL74,Devin,Runs Small,"Super adorable dress. I loved the bold print and that the straps were adjustable. The only thing is that it runs VERY small. I normally wear a size 4, so I originally tried the size 1, but I couldn't get it over my hips at all. Sized up to a 3 and it fit perfectly. Size up and you will love this dress!","April 1, 2019",Small
https://www.renttherunway.com/pdp/items/KPL74,Marissa,n/a,"Unfortunately, this dress was way too small. I'm usually a size 0-2, and I couldn't even pull this dress down over my hips.","April 1, 2019",Small
https://www.renttherunway.com/pdp/items/KPL74,Heidi,Small in the hips.,"Cute dress, but smaller than expected.","March 29, 2019",Small
https://www.renttherunway.com/pdp/items/KPL74,Brittany,The sizing runs wayyyyyy small,"I'm between a size 2 and 4, so I went up to a size 1 with this dress. I'm not that hippy and I can't even pull the dress down over my hips. I imagine I need to go up an additional size or 2! The odd thing is is that there is a ton of space up top. So size 1 is perfect if you have a long torso and super slim hips. Interested to see if this dress works for anyone else. Had to send it back without wearing.","March 29, 2019",Other
https://www.renttherunway.com/pdp/items/KPL74,Allison,Cute but fit a little strange. Was huge in the waist and small around the butt,Cute,"March 28, 2019",Everyday
https://www.renttherunway.com/pdp/items/HL198,Jacklyn,"Sexy, flirty & flattering micro mini","Good support for the girls and tight through the waist as always. I love Herve. I got tons of compliments on this one! It is very short in the back, but I was okay with it because of the event where I wore it. I did think the stripes were going to be brighter colors than they were in person... even white stripes were more of an off white or cream.","January 27, 2020",True to Size
https://www.renttherunway.com/pdp/items/HL198,Claudia,Amazing NYE dress!,"Perfect NYE dress, fit snugly enough that I didn't need a bra. Would recommend wearing a thong or seamless underwear.","January 1, 2020",Party
https://www.renttherunway.com/pdp/items/HL198,RTR Customer,Great dress,A bit lower scooped in the front (obvious in pics) so if you're not as full in that area you may not be as much a fan of that but I liked it a lot more than I anticipated and it had the gorgeous body hugging fit you'd expect! While still being comfortable!,"November 30, 2019",Other
https://www.renttherunway.com/pdp/items/HL198,Danielle,Love Love Love!!!!,I absolutely adore these Herve' Leger bandage dresses- they suck you in as well as accentuate in all the right places- I ALWAYS receive a TON of complements! This dress in particular was a HIT at the most recent event I wore it to...,"October 23, 2019",Party
https://www.renttherunway.com/pdp/items/HL198,Heather,Super Sexy!!!,Loved this fit!,"August 21, 2019",Vacation
https://www.renttherunway.com/pdp/items/HL198,Jessica,This dress will make you feel like $1M,"I didn't get to wear this :( but only because my plans changed. I will be renting this again! Super flattering if your tummy is less than flat, and no bra needed (even with 34gs). I toyed with keeping it just in case an opportunity came to wear it, but alas passed it on so someone else can rock it for a night. Definitely rent this!","July 22, 2019",Party
https://www.renttherunway.com/pdp/items/HL198,Amanda,Perfection!,"Loved the fit of this. Was short, but did not ride up at all, and the bandage structure allowed me to go braless- always a plus!","June 6, 2019",Party
https://www.renttherunway.com/pdp/items/HL198,RTR Customer,My birthday party with my girl friends,Very tight. Flattened out my breasts.,"May 10, 2019",Small
https://www.renttherunway.com/pdp/items/HL198,Christina,LBD with pizazz!,True to size. Super thick/forgiving material- no bra or shapewear needed!,"April 6, 2019",Date
https://www.renttherunway.com/pdp/items/HL198,Monika,Love This Dress!,Love this dress! Date night with hubby! It will be hard to send back,"April 3, 2019",Date
https://www.renttherunway.com/pdp/items/HL198,Caron,Perfect Party Dress,This dress fit like a glove! Incredibly flattering and comfortable! I dressed it down with a jean jacket to wear to a concert. Lots of compliments and I felt awesome!,"March 4, 2019",Party
https://www.renttherunway.com/pdp/items/HL198,RTR Customer,"Very form fitting, LOTS of compliments","Loved this dress! Would rent again. Very form fitting. Im usually a 4-6 but closer to 4 now since i have lost some weight. I didnt need to wear a bra with this dress which was a plus. I could dance just fine but limited range for my legs since the stretch of the dress is quite ""firm"". Got soooooo many compliments. Luved it!","January 15, 2019",Party
https://www.renttherunway.com/pdp/items/HL198,Ruth,It's an Herve. It's a body con. It is what it is.,I liked it. Don't love it. The scoop neck design someone didn't not love the girls and made me look flat. The back was too low to wear a traditional strapless bra so I just went without. Meh. The dress however was in great condition given it's a rental Herve and these get rented a ton. The pattern of the ribbons accentuate curves.,"January 4, 2019",Party
https://www.renttherunway.com/pdp/items/HL198,Tasha,Amazing dress,Perfect dress for Vegas! Hugs every curvy and smooths everything out! Great for curvy women and big bust. You do not even need a bra! RENT this dress you will love it.,"November 15, 2018",True to Size
https://www.renttherunway.com/pdp/items/HL198,Lorena,Great body con,"Difficult to zip by myself BUT I have never felt sexier. I loved the way it fit my entire body, especially my smaller chest.","October 16, 2018",Party
https://www.renttherunway.com/pdp/items/HL198,Amie,Great fit,Looks gorgeous on rent it fits right everywhere,"October 7, 2018",Date
https://www.renttherunway.com/pdp/items/HL198,Leah,LOVED this dress,"The dress is stretchy, but the perfect amount of tight. I wore it for an evening work event and received compliments all night","October 5, 2018",Party
https://www.renttherunway.com/pdp/items/HL198,Jill,I got so many compliments!,When i told people I'd rented the dress they demanded I buy it. It fits incredibly and accentuates a woman's curves.,"October 1, 2018",Party
https://www.renttherunway.com/pdp/items/HL198,RTR Customer,SO FLATTERING,I got compliments all night long! Very tight fit but the material and shaping made it the most flattering dress I have ever worn. Definitely could tell how how quality it was! Definitely renting this brand again!,"August 29, 2018",Party
https://www.renttherunway.com/pdp/items/HL198,Haley,Loved it,Comfortable fit great,"August 13, 2018",True to Size
https://www.renttherunway.com/pdp/items/HL198,Ashley,Show-stopping Party Dress,Perfect for a party or semi-formal event. Fits tight in all the right places and provides full coverage. Would highly recommend and consider renting again.,"July 31, 2018",Party
https://www.renttherunway.com/pdp/items/HL198,Kristin,Fits like a glove,This Herve was so beautiful and comfortable to wear. I may have been able to get away with the xs as the arm holes were slightly large and it wasn't too tight at all. I loved how even though this was short and tight it didn't ride up at all and I was comfortable all night as I wore this to a club in Vegas. Contemplated keeping this one since it's such a classic.,"July 25, 2018",Party
https://www.renttherunway.com/pdp/items/HL198,Chanel,Amazing,Herve ... that's all I have to say - amazing experience I wish my closet was made entirely of this designer,"July 19, 2018",Vacation
https://www.renttherunway.com/pdp/items/HL198,K,Very sexy dress,I wanted to wear the small but it had a red stain on the white part. The medium still fit well. I wore this to a whiskey tasting event. As others have mentioned the zipper is very stiff I am glad I got ready at work because I needed someone to zip me up. The dress hugs every curve and I received many compliments.,"June 11, 2018",True to Size
https://www.renttherunway.com/pdp/items/HL198,Kate,Herve Leger never lets me down!!,"Felt like a goddess in this. Definitely buying. Herve fits snug...so make sure to stay true to your size, unlike a lot of high-end ones where you size down.","April 6, 2018",
https://www.renttherunway.com/pdp/items/HL198,Katelyn,Sexy & Great colors,"Great dress...tight and sexy. Nice thick material, traditional Herve Leger. True to size and did not need to wear a bra. Perfect for a party night with friends!","October 30, 2017",Party
https://www.renttherunway.com/pdp/items/HL198,RTR Customer,Hot hot hot!,"Great style, the color stripe makes it a little more fun/sexy, not super dressy. Fits true to size but it's still tight. The back is too low for most bras but the fabric is thick and tight and I was fine without. Chic and sexy but not over the top. Loved it!","October 10, 2017",Party
https://www.renttherunway.com/pdp/items/HL198,Ruth,Herve Hugs The Curves! <3,"Incredibly comfortable and super-sexy, this dress brought compliments throughout the night. I wore this to a themed adult ""prom"" party celebrating a dear friend's 5th anniversary of his uber-successful restaurant. The ""elastic"" bandage style of this dress hugged me tight and didn't ride up through hours of dancing and partying. The open back and stretchy material were perfect for my large swimmer back and ribs. If I had planned better, I would have worn a sticky bra with more push-up, as the girls are a bit petite, but I am still thrilled with this dress. I'll absolutely be renting a Herve again.","September 5, 2017",Party
https://www.renttherunway.com/pdp/items/HL198,Cindy,Great dress,Loved the strong texture of the dress. I didnt love how I looked in it but the dress was great lol,"July 4, 2017",Party
https://www.renttherunway.com/pdp/items/HL198,Angel,The fit is unbelievable!,This dress is perfect for a sexy night on the town or a party. I was compliment on stop and it fit like a glove but was still comfortable. It's excellently made which is no surprise from this designer. Just have to tell you if you're considering getting it... JUST DO IT!,"June 18, 2017",Party
